v	B
2511.14419	54.291114
2510.598202	54.73777079
2510.052451	55.17206822
2509.506938	55.57781649
2508.961662	55.98221487
2508.416622	56.33066121
2507.871819	56.67438903
2507.327253	57.01726836
2506.782924	57.33640983
2506.23883	57.64689235
2505.694973	57.94126288
2505.151352	58.21562801
2504.607966	58.45083674
2504.064817	58.68716799
2503.521903	58.89554551
2502.979224	59.07053237
2502.43678	59.24611097
2501.894571	59.41767348
2501.352598	59.58874685
2500.810859	59.76037888
2500.269355	59.92236127
2499.728085	60.0770271
2499.187049	60.21596314
2498.646248	60.34315687
2498.105681	60.43308592
2497.565347	60.49888026
2497.025247	60.5650598
2496.485381	60.63383725
2495.945748	60.70274841
2495.406348	60.7625899
2494.867182	60.81163153
2494.328248	60.86074723
2493.789547	60.90981684
2493.251079	60.95309363
2492.712843	60.99177864
2492.17484	61.02382528
2491.637069	61.03672241
2491.09953	61.03743411
2490.562222	61.03713144
2490.025147	61.03062381
2489.488303	61.02413957
2488.95169	61.01663271
2488.415309	60.99473976
2487.879159	60.97288393
2487.34324	60.95106522
2486.807552	60.93048601
2486.272094	60.91127613
2485.736867	60.8896147
2485.20187	60.86720366
2484.667104	60.8505356
2484.132568	60.83701267
2483.598261	60.81463431
2483.064185	60.79073239
2482.530338	60.76694179
2481.99672	60.73828886
2481.463332	60.70714472
2480.930173	60.67604427
2480.397243	60.64498747
2479.864543	60.61889708
2479.33207	60.59515295
2478.799827	60.57335336
2478.267812	60.57450551
2477.736025	60.58317914
2477.204466	60.58807426
2476.673136	60.59167136
2476.142033	60.595316
2475.611158	60.60250469
2475.080511	60.6169976
2474.550091	60.63151504
2474.019898	60.64605703
2473.489933	60.66123224
2472.960194	60.67750309
2472.430683	60.69777172
2471.901398	60.72407175
2471.37234	60.76077271
2470.843508	60.80232936
2470.314902	60.84735827
2469.786522	60.89245364
2469.258369	60.9368645
2468.730441	60.99386199
2468.202739	61.05159525
2467.675263	61.10942148
2467.148012	61.16734084
2466.620986	61.22012242
2466.094185	61.26998415
2465.567609	61.31820549
2465.041259	61.34119783
2464.515132	61.36125432
2463.989231	61.38034356
2463.463553	61.3994678
2462.9381	61.41862711
2462.412872	61.43316303
2461.887867	61.44433936
2461.363085	61.45552775
2460.838528	61.4667282
2460.314194	61.47447455
2459.790084	61.47319091
2459.266196	61.46059873
2458.742532	61.42040176
2458.219091	61.3285626
2457.695873	61.22889058
2457.172877	61.12947947
2456.650104	61.02414263
2456.127553	60.90159766
2455.605225	60.76103976
2455.083118	60.62085173
2454.561234	60.48103252
2454.039571	60.34158108
2453.51813	60.19606562
2452.996911	60.0433956
2452.475913	59.8828961
2451.955136	59.69227232
2451.434581	59.47479815
2450.914246	59.25816241
2450.394133	59.04236166
2449.87424	58.82739247
2449.354567	58.60585188
2448.835115	58.38373251
2448.315883	58.16249985
2447.796872	57.94215015
2447.27808	57.72358809
2446.759508	57.50998873
2446.241156	57.30243165
2445.723024	57.11986459
2445.205111	56.96673538
2444.687417	56.81411195
2444.169943	56.66199259
2443.652687	56.53328331
2443.135651	56.4154346
2442.618833	56.30860038
2442.102233	56.20210758
2441.585853	56.09595521
2441.06969	55.99014229
2440.553746	55.89721644
2440.03802	55.8236341
2439.522511	55.78240974
2439.007221	55.83162134
